"No.","Time","Source","Destination","Protocol","Length","Info"
"26182","406.549595","192.168.234.129","134.33.4.18","TLSv1.2","141","Application Data"
"26183","406.549719","192.168.234.129","134.33.4.18","TLSv1.2","338","Application Data"
"26186","406.549881","192.168.234.129","134.33.4.18","TLSv1.2","92","Application Data"
"26187","406.549959","192.168.234.129","134.33.4.18","TLSv1.2","630","Application Data"
"26190","406.609579","134.33.4.18","192.168.234.129","TLSv1.2","92","Application Data"
"26192","406.665908","134.33.4.18","192.168.234.129","TLSv1.2","505","Application Data"
"26194","406.919806","192.168.234.129","134.33.4.18","TLSv1.2","194","Application Data"
"26195","406.919943","192.168.234.129","134.33.4.18","TLSv1.2","11408","Application Data"
"26216","407.041978","134.33.4.18","192.168.234.129","TLSv1.2","484","Application Data, Application Data"
"26229","407.098513","134.33.4.18","192.168.234.129","TLSv1.2","1514","Application Data, Application Data"
"26241","407.153865","134.33.4.18","192.168.234.129","TLSv1.2","1514","Application Data, Application Data"
"26252","407.153865","134.33.4.18","192.168.234.129","TLSv1.2","1514","Application Data, Application Data"
"26253","407.153865","134.33.4.18","192.168.234.129","TLSv1.2","1514","Application Data"
"26257","407.153865","134.33.4.18","192.168.234.129","TLSv1.2","115","Application Data"
"26259","407.158278","192.168.234.129","134.33.4.18","TLSv1.2","196","Application Data"
"26261","407.158517","192.168.234.129","134.33.4.18","TLSv1.2","2159","Application Data"
"26266","407.273875","134.33.4.18","192.168.234.129","TLSv1.2","199","Application Data"
"26537","408.959978","192.168.234.129","134.33.4.18","TLSv1.2","130","Application Data"
"26538","408.960199","192.168.234.129","134.33.4.18","TLSv1.2","7057","Application Data"
"26556","409.083978","134.33.4.18","192.168.234.129","TLSv1.2","1514","Application Data, Application Data"
