"No.","Time","Source","Destination","Protocol","Length","Info"
"16800","205.497370","192.168.234.2","192.168.234.129","DNS","312","Standard query response 0x323f A g.live.com CNAME g.msn.com CNAME g-msn-afd.trafficmanager.net CNAME adsuetprod-ckdecufth8fcedex.b01.azurefd.net CNAME shed.dual-low.s-part-0010.t-0009.t-msedge.net CNAME s-part-0010.t-0009.t-msedge.net A 13.107.246.38"
"16829","205.644559","192.168.234.129","192.168.234.2","DNS","76","Standard query 0xe875 A oneclient.sfx.ms"
"16830","205.681993","192.168.234.129","192.168.234.2","DNS","76","Standard query 0xe875 A oneclient.sfx.ms"
"16831","205.682403","192.168.234.2","192.168.234.129","DNS","221","Standard query response 0xe875 A oneclient.sfx.ms CNAME oneclient.sfx.ms.edgesuite.net CNAME a124.dscd.akamai.net CNAME user-att-99-77-104-0.a124.dscd.akamai.net A 23.34.82.19 A 23.34.82.17"
"16833","205.687172","192.168.234.2","192.168.234.129","DNS","241","Standard query response 0xe875 A oneclient.sfx.ms CNAME oneclient.sfx.ms.edgesuite.net CNAME a124.dscd.akamai.net CNAME user-att-99-77-104-0.a124.dscd.akamai.net A 23.34.82.19 A 23.34.82.17"
"16834","205.699826","192.168.234.129","192.168.234.2","DNS","91","Standard query 0xcc01 A settings-win.data.microsoft.com"
"16835","205.704775","192.168.234.2","192.168.234.129","DNS","224","Standard query response 0xcc01 A settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-uks-1.uksouth.cloudapp.azure.com A 51.11.168.232"
"16944","205.985515","192.168.234.129","192.168.234.2","DNS","74","Standard query 0x8d1d A ecs.office.com"
"16945","205.990970","192.168.234.2","192.168.234.129","DNS","285","Standard query response 0x8d1d A ecs.office.com CNAME ecs.office.trafficmanager.net CNAME dual-s-0005-office.config.skype.com CNAME ecs-office.s-0005.dual-s-msedge.net CNAME s-0005.dual-s-msedge.net A 52.123.128.14 A 52.123.129.14"
"16981","206.591431","192.168.234.129","192.168.234.2","DNS","84","Standard query 0x86e3 PTR 19.82.34.23.in-addr.arpa"
"16986","206.621341","192.168.234.2","192.168.234.129","DNS","147","Standard query response 0x86e3 PTR 19.82.34.23.in-addr.arpa PTR a23-34-82-19.deploy.static.akamaitechnologies.com"
"17123","211.083699","192.168.234.129","192.168.234.2","DNS","91","Standard query 0xa9c7 A settings-win.data.microsoft.com"
"17124","211.113846","192.168.234.2","192.168.234.129","DNS","225","Standard query response 0xa9c7 A settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-wus3-1.westus3.cloudapp.azure.com A 20.106.86.13"
"17162","211.621916","192.168.234.129","192.168.234.2","DNS","85","Standard query 0x44ba PTR 13.86.106.20.in-addr.arpa"
"17163","211.665144","192.168.234.129","192.168.234.2","DNS","85","Standard query 0x44ba PTR 13.86.106.20.in-addr.arpa"
"17170","211.673971","192.168.234.2","192.168.234.129","DNS","174","Standard query response 0x44ba No such name PTR 13.86.106.20.in-addr.arpa SOA ns1-05.azure-dns.com"
"17171","211.673971","192.168.234.2","192.168.234.129","DNS","174","Standard query response 0x44ba No such name PTR 13.86.106.20.in-addr.arpa SOA ns1-05.azure-dns.com"
"17188","213.535234","192.168.234.129","192.168.234.2","DNS","88","Standard query 0x9181 A msedge.api.cdp.microsoft.com"
"17189","213.564343","192.168.234.2","192.168.234.129","DNS","172","Standard query response 0x9181 A msedge.api.cdp.microsoft.com CNAME api.cdp.microsoft.com CNAME glb.api.prod.dcat.dsp.trafficmanager.net A 20.165.94.46"
"17224","214.077250","192.168.234.129","192.168.234.2","DNS","95","Standard query 0x1ebd A geover.prod.do.dsp.mp.microsoft.com"
"17229","214.099676","192.168.234.129","192.168.234.2","DNS","94","Standard query 0x192b A cp801.prod.do.dsp.mp.microsoft.com"
"17230","214.110527","192.168.234.129","192.168.234.2","DNS","95","Standard query 0x1ebd A geover.prod.do.dsp.mp.microsoft.com"
"17231","214.112155","192.168.234.2","192.168.234.129","DNS","244","Standard query response 0x1ebd A geover.prod.do.dsp.mp.microsoft.com CNAME geover.prod.do.dsp.mp.microsoft.com.edgekey.net CNAME e10370.d.akamaiedge.net CNAME user-att-99-77-104-0.e10370.d.akamaiedge.net A 23.42.157.217"
"17232","214.112155","192.168.234.2","192.168.234.129","DNS","267","Standard query response 0x1ebd A geover.prod.do.dsp.mp.microsoft.com CNAME geover.prod.do.dsp.mp.microsoft.com.edgekey.net CNAME e10370.d.akamaiedge.net CNAME user-att-99-77-104-0.e10370.d.akamaiedge.net A 23.42.157.217"
"17234","214.134347","192.168.234.2","192.168.234.129","DNS","242","Standard query response 0x192b A cp801.prod.do.dsp.mp.microsoft.com CNAME cp801.prod.do.dsp.mp.microsoft.com.edgekey.net CNAME e12437.d.akamaiedge.net CNAME user-att-99-77-104-0.e12437.d.akamaiedge.net A 23.47.166.48"
"17269","214.339625","192.168.234.129","192.168.234.2","DNS","88","Standard query 0xc91b A dl.delivery.mp.microsoft.com"
"17271","214.381002","192.168.234.2","192.168.234.129","DNS","257","Standard query response 0xc91b A dl.delivery.mp.microsoft.com CNAME dl.delivery.mp.microsoft.com.delivery.microsoft.com CNAME dcat-f-nlu-net.trafficmanager.net CNAME fg.microsoft.map.fastly.net A 151.101.146.172"
"17283","214.577822","192.168.234.129","192.168.234.2","DNS","101","Standard query 0x23cb A msedge.b.tlu.dl.delivery.mp.microsoft.com"
"17284","214.607155","192.168.234.2","192.168.234.129","DNS","280","Standard query response 0x23cb A msedge.b.tlu.dl.delivery.mp.microsoft.com CNAME star.b.tlu.dl.delivery.mp.microsoft.com.delivery.microsoft.com CNAME cdp-f-tlu-net.trafficmanager.net CNAME fg.microsoft.map.fastly.net A 151.101.54.172"
"17412","214.747542","192.168.234.129","192.168.234.2","DNS","85","Standard query 0x0bc8 PTR 46.94.165.20.in-addr.arpa"
"17413","214.761280","192.168.234.129","192.168.234.2","DNS","86","Standard query 0xf7bc PTR 217.157.42.23.in-addr.arpa"
"17414","214.772875","192.168.234.129","192.168.234.2","DNS","88","Standard query 0x0575 PTR 172.146.101.151.in-addr.arpa"
"17415","214.784352","192.168.234.129","192.168.234.2","DNS","85","Standard query 0x0bc8 PTR 46.94.165.20.in-addr.arpa"
